0.0017291,1.509,0.5236,3,2,0.01
0.0019653,1.558,0.54105,3,2,0.01
0.0022243,1.607,0.55851,3,2,0.01
0.0025073,1.656,0.57596,3,2,0.01
0.0028156,1.705,0.59341,3,2,0.01
0.0031507,1.753,0.61087,3,2,0.01
0.0035137,1.802,0.62832,3,2,0.01
0.0039061,1.85,0.64577,3,2,0.01
0.0043292,1.898,0.66323,3,2,0.01
0.0047843,1.946,0.68068,3,2,0.01
0.0052728,1.994,0.69813,3,2,0.01
0.0057961,2.042,0.71558,3,2,0.01
0.0063556,2.09,0.73304,3,2,0.01
0.0069525,2.137,0.75049,3,2,0.01
0.0075882,2.184,0.76794,3,2,0.01
0.0082641,2.231,0.7854,3,2,0.01
0.0089815,2.278,0.80285,3,2,0.01
0.0097417,2.325,0.8203,3,2,0.01
0.010546,2.372,0.83776,3,2,0.01
0.011396,2.418,0.85521,3,2,0.01
0.012292,2.464,0.87266,3,2,0.01
0.013237,2.51,0.89012,3,2,0.01
0.01423,2.556,0.90757,3,2,0.01
0.015274,2.602,0.92502,3,2,0.01
0.016369,2.647,0.94248,3,2,0.01
0.017517,2.692,0.95993,3,2,0.01
0.018719,2.737,0.97738,3,2,0.01
0.019975,2.782,0.99484,3,2,0.01
0.021287,2.827,1.0123,3,2,0.01
0.022656,2.871,1.0297,3,2,0.01
0.024083,2.915,1.0472,3,2,0.01
0.025569,2.959,1.0647,3,2,0.01
0.027114,3.003,1.0821,3,2,0.01
0.02872,3.047,1.0996,3,2,0.01
0.030386,3.09,1.117,3,2,0.01
0.032115,3.133,1.1345,3,2,0.01
0.033906,3.176,1.1519,3,2,0.01
0.03576,3.218,1.1694,3,2,0.01
0.037678,3.261,1.1868,3,2,0.01
0.03966,3.303,1.2043,3,2,0.01
0.041706,3.344,1.2217,3,2,0.01
0.043818,3.386,1.2392,3,2,0.01
0.045995,3.427,1.2566,3,2,0.01
0.048238,3.468,1.2741,3,2,0.01
0.050546,3.509,1.2915,3,2,0.01
0.052921,3.55,1.309,3,2,0.01
0.055361,3.59,1.3265,3,2,0.01
0.057868,3.63,1.3439,3,2,0.01
0.06044,3.67,1.3614,3,2,0.01
0.063078,3.709,1.3788,3,2,0.01
0.065782,3.748,1.3963,3,2,0.01
0.068551,3.787,1.4137,3,2,0.01
0.071385,3.825,1.4312,3,2,0.01
0.074284,3.864,1.4486,3,2,0.01
0.077247,3.902,1.4661,3,2,0.01
0.080273,3.939,1.4835,3,2,0.01
0.083362,3.977,1.501,3,2,0.01
0.086514,4.014,1.5184,3,2,0.01
0.089727,4.051,1.5359,3,2,0.01
0.093,4.087,1.5533,3,2,0.01
0.096333,4.123,1.5708,3,2,0.01
0.00036401,1.022,0.5236,4,3,0.01
0.00041374,1.056,0.54105,4,3,0.01
0.00046825,1.089,0.55851,4,3,0.01
0.00052783,1.122,0.57596,4,3,0.01
0.00059275,1.155,0.59341,4,3,0.01
0.00066328,1.188,0.61087,4,3,0.01
0.0007397,1.221,0.62832,4,3,0.01
0.00082231,1.253,0.64577,4,3,0.01
0.00091137,1.286,0.66323,4,3,0.01
0.0010072,1.318,0.68068,4,3,0.01
0.00111,1.351,0.69813,4,3,0.01
0.0012202,1.383,0.71558,4,3,0.01
0.001338,1.415,0.73304,4,3,0.01
0.0014636,1.448,0.75049,4,3,0.01
0.0015975,1.48,0.76794,4,3,0.01
0.0017397,1.511,0.7854,4,3,0.01
0.0018908,1.543,0.80285,4,3,0.01
0.0020508,1.575,0.8203,4,3,0.01
0.0022201,1.606,0.83776,4,3,0.01
0.002399,1.638,0.85521,4,3,0.01
0.0025877,1.669,0.87266,4,3,0.01
0.0027865,1.7,0.89012,4,3,0.01
0.0029957,1.731,0.90757,4,3,0.01
0.0032154,1.762,0.92502,4,3,0.01
0.003446,1.793,0.94248,4,3,0.01
0.0036877,1.824,0.95993,4,3,0.01
0.0039406,1.854,0.97738,4,3,0.01
0.0042051,1.885,0.99484,4,3,0.01
0.0044814,1.915,1.0123,4,3,0.01
0.0047696,1.945,1.0297,4,3,0.01
0.00507,1.975,1.0472,4,3,0.01
0.0053827,2.005,1.0647,4,3,0.01
0.005708,2.034,1.0821,4,3,0.01
0.006046,2.064,1.0996,4,3,0.01
0.0063969,2.093,1.117,4,3,0.01
0.0067607,2.122,1.1345,4,3,0.01
0.0071378,2.151,1.1519,4,3,0.01
0.0075281,2.18,1.1694,4,3,0.01
0.0079319,2.209,1.1868,4,3,0.01
0.0083491,2.237,1.2043,4,3,0.01
0.00878,2.265,1.2217,4,3,0.01
0.0092245,2.294,1.2392,4,3,0.01
0.0096828,2.322,1.2566,4,3,0.01
0.010155,2.349,1.2741,4,3,0.01
0.010641,2.377,1.2915,4,3,0.01
0.011141,2.404,1.309,4,3,0.01
0.011655,2.432,1.3265,4,3,0.01
0.012182,2.459,1.3439,4,3,0.01
0.012724,2.486,1.3614,4,3,0.01
0.013279,2.512,1.3788,4,3,0.01
0.013848,2.539,1.3963,4,3,0.01
0.014431,2.565,1.4137,4,3,0.01
0.015028,2.591,1.4312,4,3,0.01
0.015638,2.617,1.4486,4,3,0.01
0.016262,2.643,1.4661,4,3,0.01
0.016899,2.668,1.4835,4,3,0.01
0.017549,2.694,1.501,4,3,0.01
0.018213,2.719,1.5184,4,3,0.01
0.018889,2.744,1.5359,4,3,0.01
0.019578,2.768,1.5533,4,3,0.01
0.02028,2.793,1.5708,4,3,0.01
5.5137e-06,0.359,0.5236,9,4,0.01
6.2669e-06,0.37,0.54105,9,4,0.01
